Code,Agency,From,Through
BD00,Merit Systems Protection Board,1/1/1979,Present
ZL00,Medicare Payment Advisory Commission,10/1/1997,Present
RO00,Medicaid and CHIP Payment and Access Commission,12/1/2009,Present
ST32,Materiel Acquisition Support Center.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,3/1/2002,Present
ARXL,Materiel Acquisition Project Managers,4/1/1984,Present
ARXK,Materiel Acquisition Activities,4/1/1984,Present
TD13,Maritime Administration,8/1/1981,Present
MA00,Marine Mammal Commission,3/1/1974,Present
DDC4,Marine Forces Cyber Command (MARFORCYBER). Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,4/1/2023,Present
NN72,Lyndon B. Johnson Space Center,6/1/1973,Present
LC00,Library of Congress.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/1983,Present
NN23,Langley Research Center,6/1/1972,Present
LL,LEGISLATIVE BRANCH,6/1/1972,Present
ARDJ,Joint Special Operations Command,4/7/2014,Present
ARSJ,"Joint Services and Activities Supported by the Office, Secretary of the Army",2/1/1994,Present
DD79,Joint Improvised-Threat Defeat Agency. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,8/1/2015,Present
DDC5,Joint Forces Headquarters-DODIN. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,4/1/2023,Present
ARJA,Joint Activities,5/1/1979,Present
NN22,John Glenn Research Center at Lewis Field,5/1/2001,Present
NN76,John F. Kennedy Space Center,6/1/1972,Present
SM04,John F. Kennedy Center for the Performing Arts,10/1/1994,Present
NN64,John C. Stennis Space Center,5/1/1988,Present
LQ00,John C. Stennis Center for Public Service Training and Development. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,4/1/1989,Present
UJ00,Japan-United States Friendship Commission,3/1/1976,Present
BK00,James Madison Memorial Fellowship Foundation,12/1/1989,Present
JL,JUDICIAL BRANCH,6/1/1972,Present
CM55,International Trade Administration,12/1/1985,Present
GY00,International Joint Commission: United States and Canada,3/1/1986,Present
GX00,International Boundary Commission: United States and Canada,3/1/1986,Present
TR93,Internal Revenue Service,4/1/1994,Present
IF00,Inter-American Foundation,6/1/1972,Present
IP00,Intellectual Property Enforcement Coordinator (IPEC),10/1/2019,Present
AH03,Institute of Museum and Library Services,12/1/1998,Present
EDER,Institute of Education Sciences,9/1/2003,Present
VAAF,Inspector General,6/1/1991,Present
HE37,Indian Health Service,1/1/1988,Present
HSBB,Immigration and Customs Enforcement,8/1/2011,Present
NV08,Immediate Office of the Secretary of the Navy,4/1/1984,Present
EDEA,Immediate Office of the Secretary of Education,4/1/1984,Present
ARE1,Immediate Office of the Commander-in-Chief of the U.S. Army,4/1/1984,Present
ARCS,Immediate Office of the Chief of Staff of the Army,4/1/1984,Present
NV11,Immediate Office of the Chief of Naval Operations,4/1/1984,Present
VAGA,"Immediate Office of the Assistant Secretary for Operations, Security, and Preparedness",7/1/2006,Present
VADA,Immediate Office of the Assistant Secretary for Management,8/1/2000,Present
VAEA,Immediate Office of the Assistant Secretary for Information and Technology,8/1/1998,Present
VABA,Immediate Office of the Assistant Secretary for Human Resources and Administration,6/1/1994,Present
VAKA,Immediate Office of the Assistant Secretary for Congressional and Legislative Affairs,8/1/2004,Present
GS01,Immediate Office of the Administrator,10/1/1985,Present
BJ00,Illinois and Michigan Canal National Heritage Corridor Commission. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,2/1/1994,Present
VAGJ,Identity Management,9/26/2017,Present
AFCC,INTEGRATED CAPABILITIES COMMAND,10/24/2024,Present
LL02,House of Representatives. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes..,2/1/1999,Present
AGHL,Homeland Security Staff,3/1/2008,Present
HE34,Health Resources and Services Administration,9/1/1982,Present
ARX3,"Headquarters, Staff Support Activities, AMC",2/1/1985,Present
NN10,"Headquarters, NASA",4/1/1984,Present
AF2Q,"Headquarters, Air Force Weather Agency",1/1/2013,Present
AF0M,"Headquarters, Air Force Reserve Command",4/10/2012,Present
ARX2,"Headquarters, AMC",2/1/1985,Present
HT00,Harry S. Truman Scholarship Foundation,2/1/1976,Present
ARSE,HQDA Field Operating Agencies and Staff Support Agencies,10/1/2009,Present
AF13,HQ USAF and Support Elements,9/1/2008,Present
AF1Q,HQ AF Flight Standards Agency,10/1/1991,Present
GC00,Gulf Coast Ecosystem Restoration Council,1/2/2013,Present
TD06,Great Lakes Saint Lawrence Seaway Development Corporation,1/26/2021,Present
AG36,"Grain Inspection, Packers and Stockyards Administration",5/1/1993,Present
LP00,Government Printing Office,6/1/1972,Present
HUTT,Government National Mortgage Association (Ginnie Mae),5/1/1996,Present
LG00,"Government Accountability Office.  Organization (whose name, prior to July 7, 2004, had been the General Accounting Office) has not made HR submissions to the OPM since October 1, 1992.  Code may be used for other documentation purposes.",7/1/2004,Present
NN51,Goddard Space Flight Center,6/1/1972,Present
NN62,George C. Marshall Space Flight Center,6/1/1972,Present
VAAE,General Counsel,6/1/1991,Present
GS,GENERAL SERVICES ADMINISTRATION,6/1/1972,Present
AG11,Forest Service,6/1/1972,Present
AG10,Foreign Agricultural Service,6/1/1972,Present
AG30,Food and Nutrition Service,1/1/1998,Present
HE36,Food and Drug Administration,8/1/1977,Present
AG37,Food Safety and Inspection Service,6/1/1981,Present
TRAA,Financial Management Service,4/1/1994,Present
YF00,Financial Crisis Inquiry Commission,8/1/2009,Present
TRAF,Financial Crimes Enforcement Network,3/1/2003,Present
ARSB,Field Operating Offices of the Office of the Secretary of the Army,12/1/1991,Present
TD09,Federal Transit Administration,1/1/1993,Present
FT00,Federal Trade Commission,6/1/1972,Present
EDEN,Federal Student Aid,3/1/2002,Present
RF00,Federal Retirement Thrift Investment Board,10/1/1986,Present
FRBG,Federal Reserve System ¿ Board of Governors.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes..,12/1/2010,Present
TD05,Federal Railroad Administration,1/1/1985,Present
WK00,Federal Permitting Improvement Steering Council,8/3/2019,Present
TD17,Federal Motor Carrier Safety Administration,1/1/2000,Present
RS00,Federal Mine Safety and Health Review Commission,3/1/1978,Present
FM00,Federal Mediation and Conciliation Service,6/1/1972,Present
MC00,Federal Maritime Commission,6/1/1972,Present
HSBE,Federal Law Enforcement Training Centers,1/1/2003,Present
AU00,Federal Labor Relations Authority,1/1/1979,Present
HF,Federal Housing Finance Agency,7/1/2008,Present
HFHA,Federal Housing Finance Agency,3/1/2011,Present
TD04,Federal Highway Administration,6/1/1972,Present
FI00,Federal Financial Institutions Examination Council,7/1/1990,Present
DNFE,Federal Energy Regulatory Commission.,8/1/2011,Present
HSCB,Federal Emergency Management Agency,1/1/2003,Present
LF00,Federal Election Commission,4/1/1975,Present
FD00,Federal Deposit Insurance Corporation,6/1/1972,Present
FC00,Federal Communications Commission,6/1/1972,Present
DJ02,Federal Bureau of Investigation,4/1/1985,Present
TD03,Federal Aviation Administration,6/1/1972,Present
GS30,Federal Acquisition Service,9/1/2005,Present
AGFA,Farm Service Agency,2/1/1996,Present
FK00,Farm Credit System Insurance Corporation,5/1/1991,Present
FL00,Farm Credit Administration,6/1/1972,Present
AG99,FPAC Business Center,6/13/2018,Present
TK00,FINANCIAL STABILITY OVERSIGHT COUNCIL,1/1/2011,Present
FR,FEDERAL RESERVE SYSTEM,12/1/2010,Present
QZ00,FEDERAL COMPENSATION BOARD,6/1/2008,Present
EB00,Export-Import Bank of the United States,6/1/1972,Present
EX00,Executive Residence at the White House.  Organization does not make HR submissions to OPM.  Code may be used for other documentation purposes.,12/1/2003,Present
DJ09,Executive Office for U.S. Attorneys and the Office of the U.S. Attorneys,6/1/1986,Present
DJ12,Executive Office for Immigration Review,10/1/1995,Present
VADG,"Executive Director, Office of Acquisition and Logistics",2/1/2019,Present
VAGB,Executive Director for Security and Law Enforcement,5/19/2017,Present
VAGD,"Executive Director for Identity, Credential, and Access Management",5/19/2017,Present
EE00,Equal Employment Opportunity Commission,6/1/1972,Present
EP00,Environmental Protection Agency,6/1/1972,Present
DLET,Employment and Training Administration,3/1/1980,Present
DLES,Employment Standards Administration,3/1/1980,Present
DLPW,Employee Benefits Security Administration,2/1/2009,Present
VAAI,Electronic Health Record Modernization,9/1/2018,Present
GQ00,Election Assistance Commission,9/1/2003,Present
ARP8,Eighth U.S. Army,5/1/1979,Present
CM65,Economics and Statistics Administration,12/1/2000,Present
AG18,Economic Research Service,6/1/1981,Present
CM52,Economic Development Administration,12/1/1985,Present
DD64,Eastern Regional Support Center.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,1/1/2001,Present
ST46,Eastern Regional Personnel Center.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,3/1/2002,Present
WH,EXECUTIVE OFFICE OF THE PRESIDENT,6/1/1972,Present
XX,EXECUTIVE BRANCH,6/1/1972,Present
ZU00,Dwight D. Eisenhower Memorial Commission,4/1/2001,Present
DJ06,Drug Enforcement Administration,7/1/1973,Present
HSDA,Domestic Nuclear Detection Office,2/1/2006,Present
VAGE,Director for Resource Management,5/19/2017,Present
GB00,Development Finance Corporation,2/2/2020,Present
VAHE,Deputy Assistant Secretary for Security Preparedness,8/1/2004,Present
VAJC,Deputy Assistant Secretary for Public Affairs,6/1/1991,Present
VAHB,Deputy Assistant Secretary for Program and Data Analysis,6/1/2000,Present
VAHC,Deputy Assistant Secretary for Planning and Evaluation,5/1/2000,Present
VABF,Deputy Assistant Secretary for Office of Resolution Management,8/1/1998,Present
VAKC,Deputy Assistant Secretary for Legislative Affairs,8/1/2004,Present
VABH,Deputy Assistant Secretary for Labor Management Relations,1/1/2007,Present
VAJB,Deputy Assistant Secretary for Intergovernmental Affairs,3/1/2006,Present
VAEB,Deputy Assistant Secretary for Information and Technology,8/1/1998,Present
VADD,Deputy Assistant Secretary for Finance,5/1/2000,Present
VADE,Deputy Assistant Secretary for FMBTS,6/20/2021,Present
VABG,Deputy Assistant Secretary for Corporate Senior Executive Management,8/1/2009,Present
VAKB,Deputy Assistant Secretary for Congressional Affairs,8/1/1998,Present
VADC,Deputy Assistant Secretary for Budget,9/1/1989,Present
VABE,Deputy Assistant Secretary for Administration,9/1/1989,Present
TR91,Departmental Offices,4/1/1994,Present
AGDA,Departmental Administration,9/1/1999,Present
ST00,Department of State,8/1/1985,Present
DD68,Department of Defense Test Resource Management Center,10/1/2003,Present
DD16,Department of Defense Education Activity,2/1/1994,Present
DD66,Department of Defense Counterintelligence Field Activity. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,10/1/2002,Present
DN00,Department Of Energy,10/1/1977,Present
VAGC,Dep Asst Sec for Emergency Mgt & Resilience,5/19/2017,Present
DQ00,Denali Commission,6/1/2006,Present
DA00,Delta Regional Authority,9/1/2001,Present
DD61,Defense Threat Reduction Agency,10/1/1998,Present
DD29,Defense Technology Security Administration,8/1/2001,Present
DD74,Defense Technical Information Center,7/1/2004,Present
DD06,Defense Security Cooperation Agency,11/1/1999,Present
DD78,Defense Programs Support Activity.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,6/1/2006,Present
DD58,Defense Prisoner of War/Missing Personnel Office,11/1/1999,Present
DD53,Defense POW/MIA Accounting Agency,1/16/2015,Present
BF00,Defense Nuclear Facilities Safety Board,11/1/1989,Present
DD71,Defense Microelectronics Activity,10/1/2012,Present
DD80,Defense Media Activity,1/1/2008,Present
DD07,Defense Logistics Agency,1/1/1977,Present
DD25,Defense Legal Services Agency,11/1/1999,Present
DD05,Defense Intelligence Agency. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,11/1/1985,Present
DD04,Defense Information Systems Agency,8/1/1991,Present
DD48,Defense Human Resources Activity,3/1/1997,Present
AF18,Defense Health Agency Air Force Element,5/1/2014,Present
DD60,Defense Health Agency,10/1/2013,Present
DD35,Defense Finance and Accounting Service,12/1/1990,Present
DD12,Defense Counterintelligence and Security Agency,6/24/2019,Present
AF3A,"Defense Contract Management Agency, AF Element",4/1/2012,Present
DD63,Defense Contract Management Agency,3/1/2000,Present
DD10,Defense Contract Audit Agency,6/1/1972,Present
DD34,Defense Commissary Agency,8/1/1990,Present
DD75,Defense Civilian Personnel Advisory Service.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes..,9/1/2011,Present
DD62,Defense Career Management and Support Agency.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,1/1/1999,Present
DD13,Defense Advanced Research Projects Agency,8/1/1996,Present
DD81,Defense Acquisition University,6/1/2010,Present
VABI,Dean for VA Learning University,10/1/2009,Present
AF5D,DOD Cyber Crime Center,10/13/2020,Present
HSAA,DHS Headquarters,2/1/2006,Present
VA,DEPARTMENT OF VETERANS AFFAIRS,3/1/1989,Present
TD,DEPARTMENT OF TRANSPORTATION,6/1/1972,Present
TR,DEPARTMENT OF THE TREASURY,6/1/1972,Present
NV,DEPARTMENT OF THE NAVY,6/1/1972,Present
IN,DEPARTMENT OF THE INTERIOR,6/1/1972,Present
AR,DEPARTMENT OF THE ARMY,6/1/1972,Present
AF,DEPARTMENT OF THE AIR FORCE,6/1/1972,Present
ST,DEPARTMENT OF STATE,3/1/2002,Present
DL,DEPARTMENT OF LABOR,6/1/1972,Present
DJ,DEPARTMENT OF JUSTICE,6/1/1972,Present
HU,DEPARTMENT OF HOUSING AND URBAN DEVELOPMENT,6/1/1972,Present
HS,DEPARTMENT OF HOMELAND SECURITY,1/1/2003,Present
HE,DEPARTMENT OF HEALTH AND HUMAN SERVICES,5/1/1980,Present
DN,DEPARTMENT OF ENERGY,10/1/1977,Present
ED,DEPARTMENT OF EDUCATION,4/1/1980,Present
DD,DEPARTMENT OF DEFENSE,6/1/1972,Present
CM,DEPARTMENT OF COMMERCE,6/1/1972,Present
AG,DEPARTMENT OF AGRICULTURE,6/1/1972,Present
HSCA,Cybersecurity and Infrastructure Security Agency,11/16/2018,Present
HSBD,Customs and Border Protection,8/1/2011,Present
EQ00,Council on Environmental Quality/Office of Environmental Quality,4/1/1996,Present
IG00,Council of the Inspectors General on Integrity and Efficiency,4/1/2010,Present
CE00,Council of Economic Advisers,6/1/1972,Present
SK00,Consumer Product Safety Commission,4/1/1973,Present
DD59,Consolidated Metropolitan Technical Personnel Center.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,11/1/1995,Present
LL10,Congressional Commission on the Strategic Posture of the United States. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,3/1/2023,Present
LD00,Congressional Budget Office.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/1983,Present
DJ14,Community Relations Service,6/1/1996,Present
CT00,Commodity Futures Trading Commission,4/1/1975,Present
OY00,Commission on the State of U.S. Olympics and Paralympics (CSUSOP),5/1/2022,Present
YE00,Commission on the Prevention of Weapons of Mass Destruction Proliferation and Terrorism,3/1/2008,Present
ZV00,Commission on the People's Republic of China. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,9/1/2001,Present
LL09,Commission on the National Defense Strategy. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,3/1/2023,Present
ZO00,Commission on Security and Cooperation in Europe.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,2/1/1999,Present
LL06,"Commission on Planning, Programming, Budgeting, and Execution Reform. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.",12/27/2021,Present
ES00,"Commission on Executive, Legislative, and Judicial Salaries",4/1/1973,Present
CC00,Commission on Civil Rights,6/1/1972,Present
CF00,Commission of Fine Arts,6/1/1972,Present
BH00,Commission for the Preservation of America¿s Heritage Abroad,7/1/2004,Present
NV52,"Commander, Navy Installations",6/1/2003,Present
NV39,"Commander, Naval Information Warfare Systems Command   (NAVWARSYSCOM)",1/18/2020,Present
ARCP,Civilian Protection Center Of Excellence (CP CoE),1/17/2024,Present
GS13,Civilian Board of Contract Appeals,5/1/2011,Present
RJ00,Civil Rights Cold Case Review Board (CRCCRB),8/30/2022,Present
AGCR,Civil Rights,3/1/2009,Present
HSAB,Citizenship and Immigration Services,8/1/2011,Present
BZ00,Christopher Columbus Fellowship Foundation,4/1/1993,Present
NV62,Chief of Naval Education and Training,10/1/2003,Present
FJ00,Chemical Safety and Hazard Investigation Board,11/1/1997,Present
CI00,Central Intelligence Agency.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/1983,Present
HE70,Centers for Medicare & Medicaid Services,7/1/2001,Present
HE39,Centers for Disease Control and Prevention,5/1/1996,Present
HUKA,Center for Faith-Based and Community Initiatives,5/1/2001,Present
GK00,Centennial of Flight Commission.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,6/1/2001,Present
AF5C,CYBERSPACE CAPABILITIES CENTER,8/22/2024,Present
FQ,COURT SERVICES AND OFFENDER SUPERVISION AGENCY FOR THE DISTRICT OF COLUMBIA,11/1/1998,Present
HB,COMMITTEE FOR PURCHASE FROM PEOPLE WHO ARE BLIND AND SEVERELY DISABLED,8/1/2016,Present
DD77,Business Transformation Agency,10/1/2005,Present
TRAB,Bureau of the Public Debt,4/1/1994,Present
TRFD,Bureau of the Fiscal Service,10/1/2013,Present
IN29,Bureau of Trust Funds Administration,8/10/2020,Present
IN26,Bureau of Safety and Environmental Enforcement,2/1/2011,Present
IN07,Bureau of Reclamation,6/1/1981,Present
DJ03,Bureau of Prisons/Federal Prison System,6/1/1986,Present
IN23,"Bureau of Ocean Energy Management, Regulation, and Enforcement",6/1/2010,Present
IN27,Bureau of Ocean Energy Management,2/1/2011,Present
NV22,Bureau of Naval Personnel,2/1/1994,Present
IN05,Bureau of Land Management,6/1/1972,Present
DLLS,Bureau of Labor Statistics,3/1/1980,Present
DLBL,Bureau of International Labor Affairs,3/1/1980,Present
CM67,Bureau of Industry and Security,5/1/2002,Present
IN28,Bureau of Indian Education,10/1/2020,Present
IN06,Bureau of Indian Affairs,6/1/2020,Present
TRAI,Bureau of Engraving and Printing,4/1/1994,Present
CM53,Bureau of Economic Analysis,12/1/1985,Present
FRFT,Bureau of Consumer Financial Protection,12/1/2010,Present
DJ15,"Bureau of Alcohol, Tobacco, Firearms, and Explosives",1/1/2003,Present
LB00,Botanic Garden.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/1983,Present
DN03,Bonneville Power Administration.  Code is for use in file name record only.,9/1/2007,Present
VAAD,Board of Veterans' Appeals,9/1/1989,Present
GE00,Barry Goldwater Scholarship and Excellence in Education Foundation,10/1/1988,Present
HUPP,Assistant Secretary for Public and Indian Housing,7/1/1984,Present
HUWW,Assistant Secretary for Public Affairs,11/1/1984,Present
HURR,Assistant Secretary for Policy Development and Research,4/1/1980,Present
HUMM,Assistant Secretary for Housing--Federal Housing Commissioner,4/1/1980,Present
HUEE,Assistant Secretary for Fair Housing and Equal Opportunity,4/1/1980,Present
VABD,Assistant Secretary for Diversity and Inclusion,11/1/2009,Present
HUJJ,Assistant Secretary for Congressional and Intergovernmental Relations,8/1/1991,Present
HUDD,Assistant Secretary for Community Planning and Development,4/1/1980,Present
DD36,Army and Air Force Exchange Service (nonappropriated fund). Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,12/1/1991,Present
ARNG,Army National Guard Units,9/1/2018,Present
DDC1,Army Cyber Command (ARCYBER). Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,4/1/2023,Present
RH00,Armed Forces Retirement Home,6/1/2004,Present
DD70,Armed Forces Radiobiology Research Institute.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes..,5/1/2004,Present
AW00,Arctic Research Commission,10/1/1990,Present
BT00,Architectural and Transportation Barriers Compliance Board,12/1/1982,Present
LA00,Architect of the Capitol. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,5/1/1983,Present
AP00,Appalachian Regional Commission,6/1/1972,Present
AG34,Animal and Plant Health Inspection Service,6/1/1972,Present
NN21,Ames Research Center,6/1/1972,Present
AB00,American Battle Monuments Commission,6/1/1972,Present
KS00,AmeriCorps,9/29/2020,Present
TR40,Alcohol and Tobacco Tax and Trade Bureau,2/1/2003,Present
AFNG,Air National Guard Units,9/1/2018,Present
AF2I,Air National Guard Support Center,5/1/1984,Present
AF34,Air National Guard,4/10/2012,Present
AF1L,Air Mobility Command,6/1/1992,Present
AFSN,Air Forces Southern,9/4/2024,Present
AFCT,Air Forces Central,9/19/2024,Present
AF2L,Air Force Technical Applications Center,10/1/1981,Present
AF0V,Air Force Special Operations Command,12/1/2004,Present
AF2T,Air Force Safety Center,4/10/2012,Present
AF2M,Air Force Review Boards Agency,4/10/2012,Present
AF12,Air Force Public Affairs Agency,9/1/2008,Present
AF2R,Air Force Program Executive Office,3/1/1992,Present
AF5K,Air Force Petroleum Agency,10/1/2006,Present
AF09,Air Force Personnel Center,2/1/1999,Present
AF2H,Air Force Operations Group,4/10/2012,Present
AF03,Air Force Operational Test and Evaluation Center,4/1/1984,Present
AF07,Air Force Office of Special Investigations,7/1/1975,Present
AF16,Air Force Mortuary Affairs Operations,3/1/2014,Present
AF2F,Air Force Medical Support Agency,4/10/2012,Present
AF2Z,Air Force Medical Command,10/28/2024,Present
AF1M,Air Force Materiel Command,7/1/1992,Present
AF1B,Air Force Manpower Analysis Agency,4/1/2015,Present
AF2E,Air Force Legal Operations Agency,4/10/2012,Present
AF0U,"Air Force Intelligence, Surveillance, & Reconnaissance Agency",9/1/2007,Present
AF02,Air Force Inspection Agency (FO),5/1/2011,Present
AF2K,Air Force Historical Research Agency,4/10/2012,Present
AFGS,Air Force Global Strike Command,10/1/2008,Present
AF3Y,Air Force Frequency Management Agency,12/1/2004,Present
AF3T,"Air Force Elements, U.S. Transportation Command",2/1/1993,Present
AF3Q,"Air Force Elements, U.S. Strategic Command",3/1/1992,Present
AF3D,"Air Force Elements, U.S. Special Operations Command",2/1/1993,Present
AF3M,"Air Force Elements, U.S. Southern Command",2/1/1992,Present
AF3O,"Air Force Elements, U.S. Pacific Command",2/1/1993,Present
AF3K,"Air Force Elements, U.S. European Command",4/10/2012,Present
AF3C,"Air Force Elements, U.S. Central Command",10/1/1989,Present
AF3G,"Air Force Elements, NATO",4/10/2012,Present
AF2S,Air Force Elements NORAD,4/10/2012,Present
AF3V,Air Force Elements,4/10/2012,Present
AF39,Air Force Element OSD,8/1/1994,Present
AF4W,Air Force District of Washington,7/1/2005,Present
AFCY,Air Force Cyber and Intelligence Command,2/5/2025,Present
DDC3,Air Force Cyber Command (AFCYBER). Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,4/1/2023,Present
AF1K,Air Force Cyber Command,9/1/2007,Present
AF2A,Air Force Cost Analysis Agency,5/1/2011,Present
AF04,Air Force Communications Agency (Historical),4/10/2012,Present
AF1Y,Air Force Civilian Career Training,12/1/2004,Present
AF15,Air Force Civil Engineer Center,8/1/2012,Present
AF06,Air Force Audit Agency,7/1/1975,Present
AF20,Air Force Agency for Modeling/Simulation,8/1/2009,Present
AF35,Air Elements Defense Intelligence Agency,2/1/2006,Present
AF0J,Air Education and Training Command,12/1/2004,Present
AF1C,Air Combat Command,6/1/1992,Present
AG03,Agricultural Research Service,6/1/1981,Present
AG02,Agricultural Marketing Service,6/1/1972,Present
HE35,Agency for Toxic Substances and Disease Registry,10/1/1985,Present
HE33,Agency for Healthcare Research and Quality,5/1/2001,Present
AN00,African Development Foundation,3/1/1984,Present
LL07,Afghanistan War Commission. Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,10/1/2022,Present
HP00,Advisory Council on Historic Preservation,11/1/1976,Present
AA00,Administrative Conference of the United States,3/1/2010,Present
HE60,Administration for Strategic Preparedness and Response,3/1/2023,Present
HE12,Administration for Community Living,5/1/2012,Present
HE90,Administration for Children and Families,7/1/1991,Present
VAGI,Access Management,9/26/2017,Present
ZX00,Abraham Lincoln Bicentennial Commission.  Note: Organization does not make HR submissions to OPM. Code may be used for other documentation purposes.,3/1/2002,Present
RH,ARMED FORCES RETIREMENT HOME,1/1/1992,Present
AFNS,AIR FORCES NORTHERN - AIR FORCES SPACE,9/19/2024,Present
AF4S,AFELM US SPACE COMMAND,4/11/2019,Present
AF4C,AFELM US Cyber Command,10/5/2017,Present
AF38,AFELM JCS,4/1/2012,Present
AF37,AFELM Defense Threat Reduction Agency,4/1/2012,Present
AF3B,AFELM Defense Media Activity,10/20/2015,Present
AF33,AFELM DLA,4/1/2012,Present
AF30,AFELM DISA,4/1/2012,Present
ARE0,59th Ordnance Brigade,5/1/1996,Present
ARE2,21st Theater Sustainment Command (TSC),7/1/2007,Present
AREB,1st Personnel Command,10/1/1981,Present
AF2W,11th Wing,7/1/2005,Present
