Main Agency,Location,Sqare Feet,Doge Value
DEPARTMENT OF STATE,"MIAMI, FL","3,076","$7,383"
BUREAU OF PRISONS,"CINCINNATI, OH","3,068","$30,295"
BUREAU OF PRISONS,"KANSAS CITY, BUREAU OF PRISONS","51,138","$1,275,000"
FAS- OFFICE SPAC,"O’FALLON, IL, FAS SERVICE CENTER","4,599","$239,250"
FAS- OFFICE SPAC,"FAIRBORN, OH, FAS","2,983","$80,292"
CENTER FOR DISEASE CONTROL,"ATLANTA, GA, CDC","119,812","$2,060,883"
MULTIPLE,"CHARLOTTESVILLE, VA","3,719","$620,605"
SOCIAL SECURITY ADMINISTRATION,"WHITE PLAINS, NY","16,632","$162,689"
MULTIPLE,"ARLINGTON, VA","55,043","$12,979,560"
DHS OFFICE OF THE UNDERSECRETARY FOR MANAGEMENT,"ARLINGTON, VA","49,662","$12,202,890"
PBS,"MIDDLEBURG HEIGHTS, OH","5,421","$193,136"
BUREAU OF LABOR STATISTICS,"WASHINGTON, DC","845,389","$7,148,974"
MULTIPLE,"WASHINGTON, DC","46,821","$1,898,397"
PUBLIC BUILDINGS SERVICE-FIELD OFFICE,"SPRINGFIELD, IL","3,860","$164,698"
DHS UNITED STATES SECRET SERVICE,"NEW YORK, NY",250,"$4,142"
MULTIPLE,"RIVERDALE PARK, MD","5,598","$32,559"
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"NEW YORK, NY",0,"$1,316,480"
FIELD OFFICES,"WASHINGTON, DC","22,195","$1,150,282"
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"NEW YORK, NY",0,"$2,261,182"
SOCIAL SECURITY ADMINISTRATION,"LOGAN, WV","7,852","$45,650"
DEPARTMENT OF EDUCATION,"WASHINGTON, DC","5,255","$196,366"
DOD -WHS,"LOS ANGELES, CA","6,610","$2,317,200"
MULTIPLE,"REHOBOTH BEACH, DE","1,300","$600,000"
DHS UNITED STATES SECRET SERVICE,"REHOBOTH BEACH, DE","2,400","$1,544,875"
DEFENSE INFORMATION SYSTEMS AGENCY,"REHOBOTH BEACH, DE","2,740","$781,500"
DOD -WHS,"WILMINGTON, DE","2,350","$446,250"
OFFICE OF THE COMPTROLLER OF THE CURRENCY,"CHAMPAIGN, IL","2,958","$289,465"
DHS UNITED STATES SECRET SERVICE,"WILMINGTON, DE","13,441","$2,640,800"
DHS UNITED STATES SECRET SERVICE,"PHILADELPHIA, PA","1,000","$196,740"
DHS UNITED STATES SECRET SERVICE,"WILMINGTON, DE",0,"$1,249,875"
SMALL BUSINESS ADMINISTRATION,"LEBANON, NH",959,"$145,490"
DRUG ENFORCEMENT ADMINISTRATION,"YAKIMA, WA",330,"$12,900"
GOVERNMENT ACCOUNTABILITY OFFICE,"SEATTLE, WA","23,394","$946,460"
SOCIAL SECURITY ADMINISTRATION,"CARLSBAD, CA","3,579","$582,245"
DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY – DOD W,"JACKSONVILLE, FL","1,155","$6,904"
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"MILWAUKEE, WI","7,322","$933,500"
MULTIPLE,"MIDDLEBURG HEIGHTS, OH","1,000","$76,495"
DHS UNITED STATES SECRET SERVICE,"LOS ANGELES, CA","1,200","$176,700"
MULTIPLE,"LOS ANGELES, CA","16,439","$2,996,995"
PUBLIC DEFENDER SERVICE,"PHOENIX, AZ","46,567","$5,842,375"
MULTIPLE,"PHOENIX, AZ","2,193","$221,199"
MULTIPLE,"BREA, CA","2,551","$369,130"
RISK MANAGEMENT AGENCY (RMA),"TOPEKA, KS","5,560","$964,396"
DHS TRANSPORTATION SECURITY ADMINISTRATION,"ABILENE, TX","4,998","$343,715"
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"AUSTIN, TX",0,"$23,240"
UNITED STATES TRUSTEES,"DAYTON, OH","2,257","$167,870"
"EMPLOY. AND TRAIN. ADMIN., BUR. OF APPRENTICESHIP AND T","DAVENPORT, IA",351,"$20,376"
UNITED STATES FISH AND WILDLIFE SERVICE,"MADISON, WI","2,871","$290,709"
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"AKRON, OH","3,201","$242,020"
NATIONAL LABOR RELATIONS BOARD,"BIRMINGHAM, AL","3,853","$227,725"
"CORPS OF ENGINEERS, CIVIL","MOBILE, AL","23,860","$3,610,220"
VETERANS BENEFITS ADMINISTRATION,"LAS CRUCES, NM","1,120","$6,777"
DRUG ENFORCEMENT ADMINISTRATION,"NORTH ANDOVER CENTER, MA","5,300","$67,470"
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","FAYETTEVILLE, AR",440,"$55,480"
MULTIPLE,"ALBUQUERQUE, NM","5,624","$330,975"
FOOD AND DRUG ADMINISTRATION,"ATLANTA, GA","17,000",$0
SOCIAL SECURITY ADMINISTRATION,"ROANOKE RAPIDS, NC",982,"$120,000"
RURAL HOUSING SERVICE,"BATESVILLE, AR","3,403","$255,225"
NATURAL RESOURCES CONSERVATION SERVICE,"BATESVILLE, AR","1,470","$110,250"
FARM SERVICE AGENCY - COUNTY,"BATESVILLE, AR","2,891","$43,365"
SOCIAL SECURITY ADMINISTRATION,"BATESVILLE, AR","1,934","$145,050"
SOCIAL SECURITY ADMINISTRATION,"COLUMBUS, OH","3,999","$405,295"
SOCIAL SECURITY ADMINISTRATION,"OKEMOS, MI","4,276","$544,830"
UNITED STATES FISH AND WILDLIFE SERVICE,"BROKEN BOW, OK","2,325","$58,673"
DEFENSE CONTRACT MANAGEMENT AGENCY- LOCAL,"ADDISON, TX","8,905","$416,078"
SOCIAL SECURITY ADMINISTRATION,"NACOGDOCHES, TX","1,717","$86,414"
BUREAU OF INDIAN AFFAIRS,"CARNEGIE, OK",0,"$6,063"
NATIONAL ARCHIVES CENTERS,"FAIRFIELD, OH","124,569","$39,851"
BANKRUPTCY CLERK,"COLUMBUS, OH","61,371","$7,564,950"
PROBATION,"TOLEDO, OH","6,834","$733,665"
SOCIAL SECURITY ADMINISTRATION,"GREEN BAY, WI",976,"$131,145"
GEOLOGICAL SURVEY,"EL PASO, TX","3,409",$0
GEOLOGICAL SURVEY,"MENLO PARK, CA","20,000","$9,000,000"
NATIONAL ARCHIVES CENTERS,"HOFFMAN ESTATES, IL","73,573","$740,457"
MULTIPLE,"HOUSTON, TX",555,"$67,734"
MULTIPLE,"MCALLEN, TX","2,597","$258,439"
MULTIPLE,"BROWNSVILLE, TX",748,"$91,437"
GEOLOGICAL SURVEY,"SANTA MARIA, CA","6,440","$237,027"
MULTIPLE,"WASHINGTON, DC","30,193","$7,313,215"
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"BUFFALO, NY","18,163","$2,744,480"
NATIONAL LABOR RELATIONS BOARD,"BUFFALO, NY","37,644","$5,104,580"
MULTIPLE,"WASHINGTON, DC","17,593","$3,978,085"
MULTIPLE,"WASHINGTON, DC","2,061","$359,100"
DHS UNITED STATES SECRET SERVICE,"WASHINGTON, DC",0,"$210,000"
SOCIAL SECURITY ADMINISTRATION,"LAS VEGAS, NV","1,895","$16,352"
ENVIRONMENTAL PROTECTION AGENCY,"CHARLOTTE AMALIE, VI","1,277","$337,055"
MULTIPLE,"AUBURN, CA","1,228","$62,051"
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"MERRILL, WI",393,"$6,067"
MULTIPLE,"WASHINGTON, DC","66,390","$12,739,370"
DHS OFFICE OF THE UNDERSECRETARY FOR MANAGEMENT,"WASHINGTON, DC","59,681","$13,870,065"
MULTIPLE,"LORTON, VA","15,280","$1,713,445"
FEDERAL TRADE COMMISSION,"ATLANTA, GA","8,360","$1,117,415"
FEDERAL TRADE COMMISSION,"WASHINGTON, DC","259,130",$0
DHS-CBP FIELD OPERATIONS FACILITIES,"CHATTANOOGA, TN","1,023","$99,690"
ALLOWANCE TO FORMER PRESIDENTS,"ATLANTA, GA","7,682","$544,991"
DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY – DOD W,"ST. LOUIS, MO","3,392","$425,435"
MULTIPLE,"FOLSOM, CA","1,330","$78,417"
MULTIPLE,"RENSSELAER, NY",115,$0
DEFENSE CONTRACT MANAGEMENT AGENCY- NATIONAL,"SAINT AUGUSTINE, FL","4,045","$394,390"
MINE SAFETY HEALTH ADMINISTRATION,"CRAIG, CO","4,328","$921,415"
SOCIAL SECURITY ADMINISTRATION,"ROCKFORD, IL","1,743","$61,280"
U.S. IMMIGRATION & CUSTOMS ENFORCEMENT (ICE),"ROCK ISLAND, IL","10,895","$192,352"
FEDERAL BUREAU OF INVESTIGATION,"ST. JOSEPH, MO","1,449","$171,260"
MINE SAFETY HEALTH ADMINISTRATION,"ARLINGTON, VA","88,469","$15,080,510"
MULTIPLE,"SILVER SPRING, MD","64,471","$10,030,660"
MULTIPLE,"DERWOOD, MD","29,744","$4,421,785"
"FAS, REG 01 FLEET MANAGEMENT FACILITIES","HARTFORD, CT",0,"$23,100"
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"SAN JOSE, CA","5,736","$1,174,681"
NATURAL RESOURCES CONSERVATION SERVICE,"YREKA, CA","6,242","$126,132"
SOCIAL SECURITY ADMINISTRATION,"MISSOULA, MT","7,915","$87,641"
FARM SERVICE AGENCY - COUNTY,"WATERTOWN, SD","7,869","$278,049"
SOCIAL SECURITY ADMINISTRATION,"GRAND JUNCTION, CO","7,975","$432,912"
SOCIAL SECURITY ADMINISTRATION,"KALISPELL, MT","7,699","$63,083"
BUREAU OF INDIAN AFFAIRS,"ST. GEORGE, UT",750,"$252,000"
SOCIAL SECURITY ADMINISTRATION,"ROCK SPRINGS, WY","4,131","$292,142"
"FAS, REG 08 FLEET MANAGEMENT FACILITIES","BISMARCK, ND",0,"$2,520"
FARM SERVICE AGENCY- STATE,"FARGO, ND","14,800",$0
SOCIAL SECURITY ADMINISTRATION,"MINOT, ND","5,950","$586,657"
FEDERAL MEDIATION AND CONCILIATION SERVICE,"COLLIERVILLE, TN","2,190","$137,149"
SOCIAL SECURITY ADMINISTRATION,"HORSEHEADS, NY","11,400","$1,558,450"
BORDER PATROL FACILITIES,"SHELBY, MT","16,292","$1,817,795"
AGRICULTURAL MARKETING SERVICE,"PORTLAND, OR","5,485","$663,980"
FEDERAL MEDIATION AND CONCILIATION SERVICE,"ST. LOUIS, MO","4,237","$337,219"
SMALL BUSINESS ADMINISTRATION,"MELBOURNE, FL",570,$0
SMALL BUSINESS ADMINISTRATION,"CHICO, CA",315,"$37,800"
SOCIAL SECURITY ADMINISTRATION,"ANNISTON, AL","12,926","$608,457"
BUR OF INDUSTRY & SECURITY,"HERNDON, VA","4,539","$641,665"
FEDERAL MEDIATION AND CONCILIATION SERVICE,"BUFFALO, NY","2,178","$221,760"
DEPARTMENT OF AIR FORCE,"NORTH CHARLESTON, SC","75,000","$3,625,660"
SOCIAL SECURITY ADMINISTRATION,"CAMPBELLSVILLE, KY","12,750","$1,207,824"
SOCIAL SECURITY ADMINISTRATION,"CULLMAN, AL","7,361","$512,221"
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"MOBILE, AL","5,118","$243,958"
SOCIAL SECURITY ADMINISTRATION,"GADSDEN, AL","1,450","$67,410"
SOCIAL SECURITY ADMINISTRATION,"JASPER, AL","8,919",$0
SOCIAL SECURITY ADMINISTRATION,"COLUMBUS, GA","1,632","$25,512"
SOCIAL SECURITY ADMINISTRATION,"GAINESVILLE, GA","17,844","$1,688,423"
SOCIAL SECURITY ADMINISTRATION,"VIDALIA, GA","10,133","$285,947"
SOCIAL SECURITY ADMINISTRATION,"BRUNSWICK, GA","9,856","$341,023"
SOCIAL SECURITY ADMINISTRATION,"THOMASVILLE, GA","11,150","$819,228"
GEOLOGICAL SURVEY,"BOULDER, CO","3,830",$0
UNITED STATES MARSHALS SERVICE,"OXFORD, MS",600,"$16,149"
SOCIAL SECURITY ADMINISTRATION,"GRENADA, MS","8,946","$127,570"
NATURAL RESOURCES CONSERVATION SERVICE,"PEARL, MS","7,161",$0
SOCIAL SECURITY ADMINISTRATION,"GREENWOOD, MS","11,100","$504,916"
SOCIAL SECURITY ADMINISTRATION,"MERIDIAN, MS","9,796","$977,426"
SOCIAL SECURITY ADMINISTRATION,"POUGHKEEPSIE, NY","14,000",$0
SAVANNAH RIVER OPERATIONS OFFICE,"AIKEN, SC","2,250","$200,568"
FARM SERVICE AGENCY- STATE,"LEXINGTON-FAYETTE, KY","39,235","$917,195"
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"GREENSBORO, NC","5,846","$348,390"
SOCIAL SECURITY ADMINISTRATION,"ELIZABETH CITY, NC","7,914","$887,470"
NATURAL RESOURCES CONSERVATION SERVICE,"GREENSBORO, NC","30,123","$2,376,707"
SOCIAL SECURITY ADMINISTRATION,"HAZARD, KY","1,652","$3,169"
SOCIAL SECURITY ADMINISTRATION,"GREENWOOD, SC","8,727","$141,668"
SOCIAL SECURITY ADMINISTRATION,"LAWTON, OK","9,298","$55,805"
SMALL BUSINESS ADMINISTRATION,"LEXINGTON-FAYETTE, KY","1,200","$15,143"
SOCIAL SECURITY ADMINISTRATION,"FRANKLIN, NC","8,895","$1,059,184"
SOCIAL SECURITY ADMINISTRATION,"MELBOURNE, FL","1,415","$263,660"
NATIONAL PARK SERVICE,"LOWELL, MA","3,900","$149,509"
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"LOWELL, MA","36,752","$5,947,960"
SOCIAL SECURITY ADMINISTRATION,"ABILENE, TX","1,342","$39,391"
SOCIAL SECURITY ADMINISTRATION,"GREENVILLE, NC","13,775","$997,787"
AGRICULTURAL MARKETING SERVICE,"LITTLE ROCK, AR","3,974","$429,375"
"BUR OF ALCOHOL,TOBACCO,FIREARMS & EXPLOSIVES","RALEIGH, NC","5,287",$0
AGRICULTURAL MARKETING SERVICE,"IDAHO FALLS, ID","1,920","$223,657"
SOCIAL SECURITY ADMINISTRATION,"FORREST CITY, AR","12,774","$32,321"
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"SEWARD, AK",922,"$24,554"
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"JUNEAU, AK","1,595","$1,710"
NATURAL RESOURCES CONSERVATION SERVICE,"AMHERST, MA","22,428","$80,687"
NATURAL RESOURCES CONSERVATION SERVICE,"ST. JOHNSBURY, VT","5,712","$160,092"
RURAL HOUSING SERVICE,"PALMER, AK","19,716","$2,839,785"
SMALL BUSINESS ADMINISTRATION,"SHOW LOW, AZ",460,"$6,424"
RAILROAD RETIREMENT BOARD,"MESA, AZ","1,946","$43,136"
BUREAU OF INDIAN AFFAIRS,"FREDONIA, AZ","1,500","$114,300"
DEFENSE COUNTERINTELLIGENCE AND SECURITY AGENCY – DOD W,"PALMDALE, CA","1,715","$219,076"
AGRICULTURAL MARKETING SERVICE,"LOS ANGELES, CA","1,527","$33,403"
INDIAN HEALTH SERVICE-CALIFORNIA,"ARCATA, CA","1,492","$58,602"
OFFICE OF ADMINISTRATIVE LAW JUDGES,"NEW LONDON, CT","1,303","$104,330"
ENVIRONMENTAL PROTECTION AGENCY,"STAMFORD, CT","1,380","$308,496"
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"HILO, HI","1,427","$310,916"
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"SUTTON, MA","1,273","$67,109"
AGRICULTURAL MARKETING SERVICE,"JESSUP, MD","1,160","$91,443"
OFFICE OF INSPECTOR GENERAL,"VENTNOR CITY, NJ","1,018","$235,411"
INDIAN HEALTH SERVICE NAVAJO,"FARMINGTON, NM","2,000","$485,746"
OFFICE OF SURFACE MINING AND REGULATION ENFORCEMENT,"TULSA, OK","41,676","$6,340,888"
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","STATE COLLEGE, PA",443,"$45,491"
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","HARLINGEN, TX",612,"$15,310"
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"UVALDE, TX",920,"$58,538"
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"HAMPTON, VA",911,"$5,963"
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"BRATTLEBORO, VT","1,391","$65,294"
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"SEFFNER, FL","1,525","$7,285"
NATURAL RESOURCES CONSERVATION SERVICE,"OXNARD, CA","1,209","$75,189"
DEPARTMENTAL MANAGEMENT (IG),"RALEIGH, NC","2,324","$74,850"
SMALL BUSINESS ADMINISTRATION,"GREENSBORO, NC",648,"$14,571"
SOCIAL SECURITY ADMINISTRATION,"TEXARKANA, AR","1,436","$36,328"
"CORPS OF ENGINEERS, CIVIL","WILMINGTON, NC","4,349","$83,934"
SOCIAL SECURITY ADMINISTRATION,"HOUMA, LA","13,152","$965,564"
SOCIAL SECURITY ADMINISTRATION,"JONESBORO, AR","2,340","$194,995"
SOCIAL SECURITY ADMINISTRATION,"VICTORIA, TX","11,795","$1,121,001"
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"SALEM, OR","9,733","$679,228"
GEOLOGICAL SURVEY,"ANCHORAGE, AK","20,326","$2,209,205"
NATURAL RESOURCES CONSERVATION SERVICE,"FAIRBANKS, AK","4,446","$84,054"
NATURAL RESOURCES CONSERVATION SERVICE,"WASILLA, AK","4,200","$562,242"
FEDERAL HIGHWAY ADMINISTRATION,"BOISE, ID","5,179","$1,019,271"
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"IDAHO FALLS, ID","2,925","$8,790"
NATIONAL OCEANIC ATMOSPHERIC ADMINISTRATION,"IDAHO FALLS, ID","13,681","$488,290"
FEDERAL HIGHWAY ADMINISTRATION,"SALEM, OR","6,589","$924,916"
FEDERAL MOTOR CARRIER SAFETY ADMINISTRATION,"SALEM, OR","2,200","$283,555"
BUREAU OF RECLAMATION,"BEND, OR","3,386","$725,888"
GEOLOGICAL SURVEY,"CORVALLIS, OR","6,849","$1,414,992"
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"BEND, OR","6,156","$1,392,480"
NATURAL RESOURCES CONSERVATION SERVICE,"PUYALLUP, WA","2,930","$298,336"
OFFICE OF LABOR MANAGEMENT STANDARDS,"CINCINNATI, OH","4,449","$145,145"
NATURAL RESOURCES CONSERVATION SERVICE,"DAYTON, WA","4,320","$3,445"
FARM SERVICE AGENCY - COUNTY,"HENDERSONVILLE, NC","5,358","$558,780"
NATURAL RESOURCES CONSERVATION SERVICE,"RATON, NM","2,166","$161,060"
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"SIOUX CITY, IA","5,254","$17,364"
NATURAL RESOURCES CONSERVATION SERVICE,"LINCOLN, NE","10,471","$62,816"
NATIONAL PARK SERVICE,"SALT LAKE CITY, UT","3,008","$229,550"
UNITED STATES TRUSTEES,"SALT LAKE CITY, UT","8,433","$632,529"
NATIONAL LABOR RELATIONS BOARD,"OVERLAND PARK, KS","11,057","$75,239"
SOCIAL SECURITY ADMINISTRATION,"NASHVILLE, TN","4,133","$712,885"
UNITED STATES FISH AND WILDLIFE SERVICE,"FALMOUTH, ME","2,999","$247,157"
NATURAL RESOURCES CONSERVATION SERVICE,"LAWRENCE, KS","4,846","$70,064"
OFFICE OF U.S. ATTORNEYS,"SIOUX CITY, IA","14,366","$126,664"
OFFICE OF U.S. ATTORNEYS,"CORPUS CHRISTI, TX","17,039","$307,267"
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"BEAUMONT, TX","4,819","$105,487"
BUREAU OF INDIAN AFFAIRS,"PAWNEE, OK","7,549","$156,171"
BUREAU OF INDIAN AFFAIRS,"SEMINOLE, OK","9,825","$184,770"
OCCUPATIONAL SAFETY AND HEALTH ADMINISTRATION,"OKLAHOMA CITY, OK","6,401","$155,873"
FOREST SERVICE,"MESA, AZ","7,500","$355,950"
BUREAU OF MINERALS MANAGEMENT SERVICE,"NEW ORLEANS, LA",970,"$20,370"
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","SAN ANTONIO, TX","5,036","$161,294"
INDIAN HEALTH SERVICE-BEMIDJI,"BEMIDJI, MN","4,896","$178,554"
OFFICE OF U.S. ATTORNEYS,"LUFKIN, TX","5,449","$118,609"
IG FOR TAX ADMINISTRATION,"BATON ROUGE, LA",891,"$40,826"
DEPT OF TREASURY-BUREAU OF THE FISCAL SERVICE,"HYATTSVILLE, MD","76,372","$4,239,635"
INTERNAL REVENUE SERVICE NATIONAL OFFICE,"KNOXVILLE, TN","3,703","$109,816"
INDIAN HEALTH SERVICE -OKLAHOMA,"OKLAHOMA CITY, OK","5,000","$189,922"
GEOLOGICAL SURVEY,"SAN ANGELO, TX","7,510","$192,214"
BUREAU OF INDIAN AFFAIRS,"WATONGA, OK","2,850","$61,074"
OFFICE OF U.S. ATTORNEYS,"TOLEDO, OH","16,787","$755,214"
EQUAL EMPLOYMENT OPPORTUNITY COMMISSION,"EL PASO, TX","7,973","$296,960"
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"OKLAHOMA CITY, OK","1,609","$40,225"
FEDERAL TRANSIT ADMINISTRATION,"CHICAGO, IL","13,531","$943,641"
BUREAU OF MINERALS MANAGEMENT SERVICE,"HOUMA, LA","13,865","$858,919"
DOE-CARLSBAD OFFICE,"CARLSBAD, NM","90,850","$1,756,298"
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"GLADSTONE, MO","1,378","$61,966"
"EMPLOYMENT STANDARDS ADMINISTRATION, WAGE AND HOUR DIVI","LONGVIEW, TX",320,"$11,052"
ANIMAL AND PLANT HEALTH INSPECTION SERVICE,"HOUSTON, TX","2,520","$132,687"
FARM SERVICE AGENCY - COUNTY,"PARAGOULD, AR","4,900","$210,172"
NATURAL RESOURCES CONSERVATION SERVICE,"CONWAY, AR","5,171","$255,077"
OFFICE OF U.S. ATTORNEYS,"MUSKOGEE, OK","33,119","$3,710,015"
NATIONAL PARK SERVICE,"SAN ANTONIO, TX","14,478","$902,473"
FOREST SERVICE,"ALBUQUERQUE, NM","22,216","$1,681,950"
